Province_State,Country_Region,Lat,Long,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case_Fatality_Ratio
Chernihiv Oblast,Ukraine,51.4982,31.2893,3188,46,738,2404,"Chernihiv Oblast, Ukraine",316.9789558983639,1.4429109159347553
Chernivtsi Oblast,Ukraine,48.2917,25.9352,12917,329,7514,5074,"Chernivtsi Oblast, Ukraine",1428.280777642878,2.5470310443601454
Crimea Republic*,Ukraine,45.2835,34.2008,3573,47,2400,1126,"Crimea Republic*, Ukraine",186.703355905297,1.315421214665547
Dnipropetrovsk Oblast,Ukraine,48.4647,35.0462,3878,89,1830,1959,"Dnipropetrovsk Oblast, Ukraine",120.94270440736048,2.294997421351212
Donetsk Oblast,Ukraine,48.0159,37.8028,2371,35,982,1354,"Donetsk Oblast, Ukraine",56.9144586009125,1.4761703922395613
Ivano-Frankivsk Oblast,Ukraine,48.9226,24.7111,12212,277,5354,6581,"Ivano-Frankivsk Oblast, Ukraine",889.2759668291037,2.26826072715362
Kharkiv Oblast,Ukraine,49.9935,36.2304,14464,295,4102,10067,"Kharkiv Oblast, Ukraine",540.5894308487299,2.039546460176992
Kherson Oblast,Ukraine,46.6354,32.6169,790,20,436,334,"Kherson Oblast, Ukraine",76.13430476851316,2.5316455696202533
Khmelnytskyi Oblast,Ukraine,49.423,26.9871,4481,90,2044,2347,"Khmelnytskyi Oblast, Ukraine",354.3118751013082,2.008480249944209
Kiev,Ukraine,50.4501,30.5234,19140,312,5828,13000,"Kiev, Ukraine",648.6376575843839,1.6300940438871474
Kiev Oblast,Ukraine,50.053,30.7667,7611,156,4929,2526,"Kiev Oblast, Ukraine",430.5010351030013,2.0496649586125346
Kirovohrad Oblast,Ukraine,48.5079,32.2623,973,52,777,144,"Kirovohrad Oblast, Ukraine",102.90318111488668,5.344295991778006
Luhansk Oblast,Ukraine,48.574,39.3078,735,5,399,331,"Luhansk Oblast, Ukraine",34.156925746561186,0.6802721088435374
Lviv Oblast,Ukraine,49.8397,24.0297,18129,515,6040,11574,"Lviv Oblast, Ukraine",718.8282730397566,2.8407523856804016
